Initial Key Length,Correctness,Incorrect Bits,Final Key Length
32,100.0,0,18
36,92.85714285714286,1,14
40,100.0,0,23
44,95.23809523809523,1,21
48,100.0,0,27
52,100.0,0,26
56,100.0,0,23
60,100.0,0,32
64,100.0,0,32
68,96.96969696969697,1,33
72,100.0,0,38
76,97.05882352941177,1,34
80,97.43589743589743,1,39
84,100.0,0,35
88,97.87234042553192,1,47
92,100.0,0,49
96,100.0,0,39
100,100.0,0,48
104,100.0,0,47
108,96.15384615384616,2,52
112,98.24561403508771,1,57
116,100.0,0,60
120,100.0,0,60
124,100.0,0,57
128,98.38709677419355,1,62
132,100.0,0,78
136,100.0,0,68
140,100.0,0,72
144,98.48484848484848,1,66
148,100.0,0,69
152,100.0,0,79
156,100.0,0,73
160,98.66666666666667,1,75
164,98.76543209876543,1,81
168,98.78048780487805,1,82
172,97.91666666666666,2,96
176,98.01980198019803,2,101
180,98.80952380952381,1,84
184,98.87640449438202,1,89
188,100.0,0,101
192,99.05660377358491,1,106
196,100.0,0,105
200,99.10714285714286,1,112
204,99.08256880733946,1,109
208,98.94736842105263,1,95
212,100.0,0,120
216,100.0,0,107
220,98.21428571428571,2,112
224,100.0,0,115
228,99.07407407407408,1,108
232,100.0,0,110
236,98.4251968503937,2,127
240,97.65625,3,128
244,99.24242424242425,1,132
248,100.0,0,135
252,99.21875,1,128
256,97.10144927536231,4,138
260,99.18032786885246,1,122
264,99.16666666666667,1,120
268,99.26470588235294,1,136
272,98.55072463768117,2,138
276,99.23076923076923,1,130
280,99.28571428571429,1,140
284,99.35064935064936,1,154
288,99.33333333333333,1,150
292,99.26470588235294,1,136
296,98.67549668874173,2,151
300,98.62068965517241,2,145
304,97.74436090225564,3,133
308,99.35064935064936,1,154
312,98.64864864864865,2,148
316,98.67549668874173,2,151
320,99.34640522875817,1,153
324,99.42857142857143,1,175
328,98.75776397515527,2,161
332,99.38271604938271,1,162
336,98.06451612903226,3,155
340,99.41520467836257,1,171
344,99.39393939393939,1,165
348,99.38650306748467,1,163
352,100.0,0,161
356,100.0,0,180
360,96.66666666666667,6,180
364,98.57142857142858,3,210
368,98.95287958115183,2,191
372,99.51923076923077,1,208
376,99.45945945945947,1,185
380,98.96907216494846,2,194
384,98.04878048780488,4,205
388,98.95287958115183,2,191
392,98.99497487437185,2,199
396,98.9795918367347,2,196
400,99.08675799086758,2,219
404,99.47643979057592,1,191
408,96.82539682539682,6,189
412,97.58454106280193,5,207
416,99.0909090909091,2,220
420,99.00497512437812,2,201
424,99.53917050691244,1,217
428,99.06976744186046,2,215
432,99.50738916256158,1,203
436,100.0,0,230
440,98.68995633187772,3,229
444,100.0,0,213
448,98.09523809523809,4,210
452,99.1701244813278,2,241
456,98.64864864864865,3,222
460,98.24561403508771,4,228
