Initial Key Length,Correctness,Incorrect Bits,Final Key Length
32,100.0,0,16
36,100.0,0,21
40,100.0,0,14
44,100.0,0,21
48,100.0,0,24
52,100.0,0,29
56,100.0,0,27
60,100.0,0,27
64,100.0,0,35
68,100.0,0,30
72,100.0,0,35
76,100.0,0,33
80,100.0,0,38
84,100.0,0,33
88,100.0,0,41
92,100.0,0,46
96,100.0,0,43
100,100.0,0,49
104,100.0,0,46
108,100.0,0,47
112,100.0,0,61
116,100.0,0,57
120,98.38709677419355,1,62
124,100.0,0,61
128,100.0,0,68
132,98.27586206896551,1,58
136,98.61111111111111,1,72
140,100.0,0,63
144,100.0,0,69
148,100.0,0,82
152,100.0,0,78
156,98.46153846153847,1,65
160,100.0,0,74
164,100.0,0,85
168,100.0,0,86
172,100.0,0,82
176,100.0,0,83
180,100.0,0,92
184,100.0,0,92
188,98.9247311827957,1,93
192,100.0,0,95
196,100.0,0,106
200,100.0,0,102
204,100.0,0,104
208,100.0,0,117
212,100.0,0,110
216,100.0,0,102
220,100.0,0,98
224,100.0,0,115
228,100.0,0,110
232,100.0,0,113
236,100.0,0,119
240,100.0,0,124
244,100.0,0,109
248,100.0,0,123
252,100.0,0,126
256,99.25373134328358,1,134
260,100.0,0,129
264,100.0,0,136
268,100.0,0,136
272,99.21875,1,128
276,100.0,0,133
280,100.0,0,137
284,100.0,0,144
288,100.0,0,151
292,100.0,0,163
296,99.36708860759494,1,158
300,100.0,0,151
304,100.0,0,143
308,100.0,0,150
312,100.0,0,146
316,100.0,0,155
320,99.3975903614458,1,166
324,99.43502824858757,1,177
328,100.0,0,172
332,100.0,0,182
336,100.0,0,143
340,99.3103448275862,1,145
344,99.3975903614458,1,166
348,100.0,0,186
352,100.0,0,176
356,99.45054945054946,1,182
360,100.0,0,181
364,98.86363636363636,2,176
368,100.0,0,187
372,100.0,0,196
376,100.0,0,201
380,99.45054945054946,1,182
384,100.0,0,190
388,100.0,0,186
392,100.0,0,189
396,100.0,0,180
400,100.0,0,186
404,100.0,0,210
408,100.0,0,211
412,100.0,0,207
416,100.0,0,201
420,99.50738916256158,1,203
424,99.53271028037383,1,214
428,99.53703703703704,1,216
432,100.0,0,202
436,99.54337899543378,1,219
440,100.0,0,227
444,99.53703703703704,1,216
448,100.0,0,218
452,100.0,0,232
456,99.51456310679612,1,206
460,100.0,0,232
464,100.0,0,223
468,98.66071428571429,3,224
472,100.0,0,234
476,100.0,0,242
480,100.0,0,245
484,100.0,0,246
488,99.58847736625515,1,243
492,100.0,0,219
496,100.0,0,245
500,99.60474308300395,1,253
504,100.0,0,266
508,100.0,0,248
512,99.27007299270073,2,274
516,98.85057471264368,3,261
520,99.60629921259843,1,254
524,100.0,0,263
528,99.61977186311786,1,263
532,100.0,0,288
536,100.0,0,283
540,100.0,0,276
544,100.0,0,274
548,99.64788732394366,1,284
552,100.0,0,272
556,100.0,0,274
560,100.0,0,288
564,99.63898916967509,1,277
568,100.0,0,292
572,100.0,0,256
576,100.0,0,269
580,100.0,0,290
584,100.0,0,300
588,99.65034965034964,1,286
592,100.0,0,282
596,100.0,0,286
600,100.0,0,308
604,100.0,0,301
608,100.0,0,311
612,100.0,0,325
616,100.0,0,286
620,99.31506849315068,2,292
624,100.0,0,300
628,100.0,0,328
632,100.0,0,328
636,99.33333333333333,2,300
640,99.67948717948718,1,312
644,100.0,0,325
648,100.0,0,355
652,100.0,0,343
656,100.0,0,333
660,100.0,0,337
664,100.0,0,341
668,100.0,0,345
672,100.0,0,333
676,99.42857142857143,2,350
680,99.69325153374233,1,326
684,100.0,0,333
688,100.0,0,364
692,100.0,0,334
696,100.0,0,321
700,100.0,0,381
704,100.0,0,371
708,100.0,0,352
712,100.0,0,356
716,99.73474801061008,1,377
720,99.44444444444444,2,360
724,99.72826086956522,1,368
728,99.73684210526315,1,380
732,100.0,0,379
736,99.47916666666666,2,384
740,100.0,0,366
744,100.0,0,366
748,100.0,0,362
752,100.0,0,358
756,99.74489795918367,1,392
760,100.0,0,381
764,99.73890339425587,1,383
768,100.0,0,382
772,99.74226804123711,1,388
776,100.0,0,369
780,100.0,0,400
784,100.0,0,392
788,100.0,0,424
792,100.0,0,408
796,100.0,0,376
800,100.0,0,399
804,100.0,0,398
808,99.74358974358975,1,390
812,100.0,0,389
816,100.0,0,399
820,100.0,0,412
824,99.5085995085995,2,407
828,99.50738916256158,2,406
832,99.51456310679612,2,412
836,99.75186104218362,1,403
840,100.0,0,409
844,100.0,0,414
848,100.0,0,423
852,100.0,0,426
856,100.0,0,431
860,100.0,0,405
864,99.78021978021978,1,455
868,99.77116704805492,1,437
872,100.0,0,431
876,99.54853273137697,2,443
880,99.77876106194691,1,452
884,100.0,0,429
888,99.77272727272727,1,440
892,100.0,0,450
896,99.78260869565217,1,460
900,100.0,0,445
904,99.52941176470588,2,425
908,99.78401727861771,1,463
912,99.77678571428571,1,448
916,99.77827050997783,1,451
920,100.0,0,443
924,99.56331877729258,2,458
928,99.35483870967742,3,465
932,99.56521739130434,2,460
936,99.78354978354979,1,462
940,99.78308026030369,1,461
944,100.0,0,477
948,100.0,0,477
952,100.0,0,490
956,99.79423868312757,1,486
960,100.0,0,494
964,99.79508196721312,1,488
968,100.0,0,497
972,100.0,0,471
976,100.0,0,515
980,100.0,0,506
984,100.0,0,482
988,100.0,0,507
992,99.60552268244575,2,507
996,99.78768577494692,1,471
1000,100.0,0,498
1004,99.80119284294234,1,503
1008,100.0,0,499
1012,99.79797979797979,1,495
1016,100.0,0,525
1020,100.0,0,517
1024,99.79919678714859,1,498
1028,99.81024667931689,1,527
1032,100.0,0,525
1036,100.0,0,500
1040,99.43074003795066,3,527
1044,100.0,0,500
1048,100.0,0,506
1052,99.80952380952381,1,525
1056,100.0,0,551
1060,99.6422182468694,2,559
1064,99.6316758747698,2,543
1068,100.0,0,509
1072,99.43714821763602,3,533
1076,100.0,0,520
1080,99.81481481481481,1,540
1084,99.80916030534351,1,524
1088,99.65337954939342,2,577
1092,100.0,0,577
1096,100.0,0,553
1100,99.80430528375733,1,511
1104,99.64093357271095,2,557
1108,100.0,0,539
1112,100.0,0,575
1116,99.82394366197182,1,568
1120,99.82238010657194,1,563
1124,99.82078853046595,1,558
1128,99.64093357271095,2,557
1132,99.82788296041308,1,581
1136,99.81818181818181,1,550
1140,100.0,0,584
1144,99.8220640569395,1,562
1148,99.83108108108108,1,592
1152,100.0,0,605
1156,100.0,0,574
1160,99.82847341337907,1,583
1164,100.0,0,581
1168,100.0,0,582
1172,99.8272884283247,1,579
1176,99.65811965811966,2,585
1180,100.0,0,567
1184,99.83416252072969,1,603
1188,100.0,0,623
1192,100.0,0,580
1196,99.83633387888707,1,611
1200,100.0,0,601
1204,99.48275862068967,3,580
1208,100.0,0,606
1212,100.0,0,604
1216,99.83498349834984,1,606
1220,99.66442953020133,2,596
1224,99.51768488745981,3,622
1228,99.83108108108108,1,592
1232,99.83792544570503,1,617
1236,99.84177215189874,1,632
1240,99.84567901234568,1,648
1244,99.835255354201,1,607
1248,100.0,0,632
1252,99.83974358974359,1,624
1256,100.0,0,638
1260,100.0,0,638
1264,99.84520123839009,1,646
1268,100.0,0,650
1272,100.0,0,648
1276,99.84375,1,640
1280,99.85096870342772,1,671
1284,100.0,0,662
1288,100.0,0,627
1292,100.0,0,629
1296,100.0,0,644
1300,99.83660130718954,1,612
1304,99.8533724340176,1,682
1308,99.70193740685544,2,671
1312,100.0,0,669
1316,99.37888198757764,4,644
1320,99.85207100591717,1,676
